subject,rspamd_score,rspamd_action,klasifikacija,stvarna_oznaka
82 new messages in 23 topics - abridged,10.1,add header,PHISHING,0
RE: italy pics,4.6,greylist,SUMNJIVO,0
[SM-USERS]  Unknown Date,3.6,no action,LEGITIMNO,0
From Selah Bekou For The Family,6.649999,add header,SUMNJIVO,1
"hello rrrrr ,your attention needed",7.5,add header,SUMNJIVO,1
PLEASE   RESPOND,6.699999,add header,SUMNJIVO,1
Re: Different delimiters + relay_recipient_maps,4.5,greylist,SUMNJIVO,0
Donation From Mrs Susan Thompson,7.5,add header,SUMNJIVO,1
I NEED YOU URGENT BUSINESS ASSISTANCE.,8.35,add header,SUMNJIVO,1
[PATCH] Time::Piece & matherr on qnx4,3.5,no action,LEGITIMNO,0
SALE: Save up to 80% and Half-Off Shipping,3.6,no action,LEGITIMNO,0
From Mrs. G. Ajith Kumar,5.6,greylist,SUMNJIVO,1
ABSA: Attention Needed,4.55,greylist,SUMNJIVO,1
Re: Scalar::Util::refaddr,4.5,greylist,SUMNJIVO,0
RE: New software upgrade,7.05,add header,SUMNJIVO,1
URGENT REPLY NEEDED,7.975,add header,SUMNJIVO,1
"Re: ""Nice girl like to chat"" spam",4.5,greylist,SUMNJIVO,0
"Urgent Attention,",5.5,greylist,SUMNJIVO,1
[UAI] Call for Tutorial: IUI08 - A new Generation ,5.5,greylist,SUMNJIVO,0
Re: newbie question: scan msgs smaller than certai,4.5,greylist,SUMNJIVO,0
Verify Your Account,5.5,greylist,SUMNJIVO,1
[Perl Jobs] Small order processing job (telecommut,3.6,no action,LEGITIMNO,0
You have 1 new security message from Chase,4.55,greylist,SUMNJIVO,1
"Re: New schemes vs recycling ""http:"" (Re: Past LC ",4.5,greylist,SUMNJIVO,0
Re: postfix in a courier proxy cluster wont delive,4.6,greylist,SUMNJIVO,0
Re: [opensuse]  [OT] How much power does a PC real,5.6,greylist,SUMNJIVO,0
Re: [Python-Dev] Decimal(unicode),4.6,greylist,SUMNJIVO,0
Trade Me -- New Feedback Posted. Auction: 12922828,6.55,add header,SUMNJIVO,0
Attention: President/Director,6.5,add header,SUMNJIVO,1
FROM Accountant David,8.0,add header,SUMNJIVO,1
[perl #47580] OK: perl 5.10.0 +RC1 on amd64-freebs,8.1,add header,SUMNJIVO,0
Postfix sending mail to just other mail server,5.5,greylist,SUMNJIVO,0
[Bug 5817] Poorly faked MTA Received headers (Plug,3.6,no action,LEGITIMNO,0
Re: [opensuse] [OT] How much power does a PC reall,6.649999,add header,SUMNJIVO,0
GOOD DAY,7.15,add header,SUMNJIVO,1
[Info-www-search] Your Understanding And Cooperati,5.5,greylist,SUMNJIVO,1
Greetings...From Rabi,7.5,add header,SUMNJIVO,1
Administrator,5.5,greylist,SUMNJIVO,1
=?utf-8?q?Important_=E2=80=93_We_noticed_unusual_a,9.549999,add header,SUMNJIVO,1
[Python-Dev] Deco,3.5,no action,LEGITIMNO,0
Announcing the ADC Video Collection for IT,6.55,add header,SUMNJIVO,0
From:Mrs.Aisha Mohhamed,6.6,add header,SUMNJIVO,1
"Re: [FoRK] I'd love to do this, and I'm afraid to ",5.649999,greylist,SUMNJIVO,0
Re: [opensuse] How can the common users use Virtua,7.5,add header,SUMNJIVO,0
(jose@monkey.org) Urgent Mail Update Required,6.05,add header,SUMNJIVO,1
Business Venture,3.5,no action,LEGITIMNO,1
Re: [opensuse] Extensive disk i/o at startup (10.3,4.6,greylist,SUMNJIVO,0
[perl #46173] possible fd bug in PerlIOStdio_close,4.1,greylist,SUMNJIVO,0
REQUEST FOR ASSISTANCE IN A FINANCIAL TRANSACTION.,8.0,add header,SUMNJIVO,1
Re: [Python-Dev] [Distutils] PEP 365 (Adding the p,4.6,greylist,SUMNJIVO,0
kindly assist me,7.5,add header,SUMNJIVO,1
Request for help,7.0,add header,SUMNJIVO,1
Re: [R] Exporting data to a text file,6.5,add header,SUMNJIVO,0
Consider this Proposal,7.5,add header,SUMNJIVO,1
+ From Portugal & Urgent Reply Needed.+ ,6.0,add header,SUMNJIVO,1
Re: [opensuse] OpenOffice writer nuisance pop up,4.6,greylist,SUMNJIVO,0
INVESTMENT REQUEST,6.85,add header,SUMNJIVO,1
Sphinx 0.3 released,3.6,no action,LEGITIMNO,0
WARNING : jose@monkey.org Quota Has Exceed Limit! ,6.55,add header,SUMNJIVO,1
Re: [Python-Dev] [Python-3000] Reminder: last alph,4.6,greylist,SUMNJIVO,0
Your Checking/Saving Account Malware Attack,4.55,greylist,SUMNJIVO,1
Re: [opensuse] Defragging: possible?  necessary?,5.6,greylist,SUMNJIVO,0
"Re: [opensuse] Use entire disk, and not a partitio",4.5,greylist,SUMNJIVO,0
Webcast Roundup: Who's Reading Your Old Disk Drive,4.649999,greylist,SUMNJIVO,0
Cracking open Apple's ultra-thin MacBook Air,4.55,greylist,SUMNJIVO,0
S.E.M PAUL ANTOINE BOHOUN BOUABRE,7.024999,add header,SUMNJIVO,1
svn commit: r583977 - /spamassassin/tags/sa-update,3.6,no action,LEGITIMNO,0
How one can become a terrorist?,7.5,add header,SUMNJIVO,1
Too false negative,3.5,no action,LEGITIMNO,0
FAMILY BUSINESS ASSISTANCE,6.949999,add header,SUMNJIVO,1
Re: [FoRK] Google age-discrimination suit,4.5,greylist,SUMNJIVO,0
